Coment,Status
shaki harima kind girl kenek loku kam na ,Neutral 
bn tripal trople vlog den kara nne nedda ,Neutral 
chater video ekak kisima lassanak ne badu keli k raganawa witarai,Neutral 
ado vinilage production eken dekke unge patta balapallaaaaaa fun thama aaaaaaaaaa,Neutral 
honda terumak tiyena song ekk padapelirap supiri jaya wewa iraj aiya,Neutral 
policeyata kiuwe gedara allagnnda keri sppya mthk une ndda hriynne na,Hate
makeup ekkuth dagen awith eye brows kapala ane huthak rahath wela,Hate
the amount of like whores on this comment section malli legendary,Neutral 
lankawen desapalakayo tikak yawala balamu poster gahana widihata thama ita passe,Neutral 
mechara ara minissu dagaladdi eeka video kara kara hitapu eka kawuda,Offensive 
kalakaruwo kiyanne thamange gedarata aradana karala minissunta gahana jathiye ponna jathiyakda,Hate
ochchara vata vela gahaddith mu kawda kiyala uma pennuva mu yakek,Offensive 
mona hari aulak thiyanawa kella balapan ubata weradila muge wayasa tikak,Neutral 
adow pissu kora bn wasi wasi digatama karagena palayan ubata jaya,Neutral 
amma wage adare denna kellekta ba amme,Neutral 
topi serama eka unata passe tama serama,Neutral 
ana sir mata sirwa muna gahanna ona,Neutral 
lassani godakkkk man asai e song ekata,Neutral 
akki babage dresses godak podi karanna epa ,Neutral 
ubta wena wada nada bn tik-tok tik-tok  😒 💔 ,Neutral 
chamusri me serama sinduwala director oyada nathnam channel eka witharada,Neutral 
hari miniheknam wedapale eunta bambu gahaganna kiyla gaani nawatthaganna thibunane,Neutral 
minissu hangena eka sadaranai media karayo karana balu wada nisa,Hate
samava denna eppa harage mole ne mayalata palayag sodi arabita,Hate
yako allapiyau maha banku hara kama ubalai wadata punci unta,Offensive 
manda buddika ponne pakku mun yako wedagath deyak karapan yako,Hate
gonnu pom krla society kanna epaaa rayan ponnayk wenn epa,Hate
monawa unath ranjan athal eke inna dial ekak hoda adarshayak,Neutral 
ane eka korona karekwath avith thibunanam hitha hadaganna thibba aparade,Offensive 
thopilata heluwen inna orna nam apahu apassata gihin weddo weyan,Hate
bipuwama sarama amathai guruwariyak mahama hasiranawata kanagatui  😭 😭 😭 😭 🙏maka bawwddha ratak  😭 😭 😭 😭 😭 😭 😎,Neutral 
e wachana 💕 💕e hada harima lassanata galapenawa ayeee ayeema ahanna hithenawa  👍 👍 💞 💞,Neutral 
gahala madii ballanta sinhalayanta gahana topita tambinta gahanna dekata nemenawa,Hate
hoda wade allege uraran eriyan ta uru mass denna kanna,Hate
dewiyan wahansege namayen dewani soyuriyata sadharanaya etu kala manawi 🙏 amen  🙏,Neutral 
supiri sir hithata marama sahalluwak dannawa sir sirge katha ahanakota,Neutral 
chik nodakin me lankawe pirimi tharam jara jathiyak kohewath na,Hate
uge photo ekane danna thibune pahu wela okawa nidahas karai,Hate
mekai pawlema ewunwa kapala ballata dapan mamanam ehemai mage daruwekutawunoth,Hate
sir ape ammata dadiya danawa godak e oya hethuwa nisada,Neutral 
maraladanna thiyenne okunwa mathara un dakune kiyala kehegahuwata bayagullo inne,Hate
wadenam hondai eth ape minisunge winayath ekka mewa araksha karaganida,Neutral 
kuhaka kamin kupitha uwanta theruwan saranai kalyana mithrainwahanselata deergau wewa,Offensive 
un denatawath nathi prashnane meke comment karanna apu unta thiyenne,Neutral 
ane manda mewa balala ape aya kohoma react karaida kiyala,Neutral 
ankawe kalakanni ekka oka adugane awruddakwat oya widiyatama thibboth hodai,Offensive 
dan meke video karala fb daanna tharam deyak thiyenawada ban,Neutral 
balan giyama meya piumita wada gonek ne he he he,Offensive 
daenina kata karagaena ewara wela apeta baila gahanawa aiyo salile,Neutral 
meke inna sudu aiya shoi ane eyawa contact krala dennako,Neutral 
yko korona tibunanam pitin apu manussayatat hdanawane monada me katha,Neutral 
lassanai akki vedios asai balanna akki hari nihathamani kenek theruwansaranai ,Neutral 
kollange adare gana kalakirimak thiyenne lesbian love ekak mama balaporoththu wenne dan  💔 😔,Offensive 
apoo me gona moko mekata gathee,Offensive 
mask nodana unta k dada gehuwanam ada minissu hedila,Offensive 
nodakin mehem ganu mun wadapuu amma thathlt hen gahee,Hate
me vesi katta kaluvatan hitiye kohomada meki sudhu une,Offensive 
prasiddiye meki kiyana ewa muna nithiyak nadda me rate,Hate
okata genath thiya ganna kiyapn okun okkma wesawiyoo tika,Hate
oki thaththata kiyalath huka gannawa athi minissu nethi welawata,Hate
kohoma hari hoda kellonwa aran badu karaneka thama wada,Offensive 
meka nam gdk lassana song ekk  😍 😍,Neutral 
yako ekekuta denekuta vedi paraval k k thiyanna epai,Offensive 
oscar gena video enwa digatama balanna kemathi aya subscribe karala ekathu wenna,Neutral 
mata nam me natiya pena bha,Neutral 
ko balanna anuhas lihini ekathu wenawa balanna kamathi ayaaaa,Neutral 
koneda badapu unta thamai mauwa kiyanna oni danno danithi,Neutral 
lankawe sinhala kanthawanta gehenu daruwanta sadharanaya ishta wenneth ne,Offensive 
watinwa sir godakma samaja hadanna puluwan mahathmayek tamay obathuma jaya wewa bs,Neutral 
okata dan thawa ekak add wei,Neutral 
monatharam srestsa rajathumekada maha rawana raju ai minissune amathaka,Neutral 
umbath loku unnama duwe umbe ammawa para dala warenn,Offensive 
aya gunawat viruwan aqi agar karanna hapawatinma aqi aparayi,Neutral 
meka aluth product launch ekak karanna gahapu ad ekak,Neutral 
oyatrein eka ape minissu anthimata kakkussiyak karanawa eka suwar,Neutral 
ape minissu mewath winasa krai kisima hediyawak na ne,Neutral 
ambo eka patta kollek mahela ah,Neutral 
hashini comments dana ayatath podi chance ekak denna beridanikan lampuwa allanna wage,Neutral 
me teledrama eka harima lassanai meka jiwita kalayatama thiyannawam,Neutral 
ane ithin adagenama nagena paw apppa lejjawe vachana tepalenava,Neutral 
visa biga jalyata ekatu wenna eda tiyanawa e nida adahana kirima hodai ,Neutral 
kasun ayya issarahata redi hodanna lasthi venna oita vada 😜 ❤ ,Neutral 
kamma wage girls la ne bro ammage thena katawath purawanda be,Neutral 
iraj puluvannam sarvavahiniya rap tikak penn nanna kiyanako kavada hari plese,Neutral 
mugae pukata dimi gotu danna ona lankawe sanskruthiya gana hithapan waesawo,Hate
yako balu widiyata video karala danna epa higa kapalla eka hodai,Hate
mage channel ekth blnn yaluwane bp gossip thama channel eka nama,Neutral 
nedakin mun nikan sakkili wage ryan uba mokekda bn wanachara ballek,Hate
supiri baduwakage number ekk set karan athal ekk ganna shasi -,Offensive 
sarah aththatama kiyanna iththuti karanna wacana ne godak gogak isthuthi obathumata,Neutral 
wadagath deyak kiyala deddith dislike karana ewnnam supiri kaalakanni wenna ona,Offensive 
tho ganu jatiyatama nindawak lake wadi dawasak yamaha thota sapa wenawamai,Hate
to wage balu wesiyek wadapu toge ammage to wadapu tenatath henagahannaona,Hate
rakiyawata hariyatama galapena kenek oya mona agamak adahuwath oyata theruwan saranai,Neutral 
jeewithe keeyak anathureda ai me wasa kala tharuna jeewitha apayak karaganne,Neutral 
malinga labana mase candawta gihin golble t tournament eka sellan karanawa,Neutral 
nitharama wage kujeetha unath me sathkriyawen nam puujithay sir adambaray awankawama,Neutral 
ohu daksa mahathmayek telecasting subject ekata loku nihada meheyak kala kenek,Neutral 
den thiyena songs ekka baladdi methakadi asawen balapu ekama song eka,Neutral 
hoda wade gon admin lata adminlata puluwan da cricketets lawa hadanna,Neutral 
akka lassana wela du patiya parissamen satutin inw athi ammige bandiye  😍 ❤ ,Neutral 
pissuneeeee niyamai gahanu lamai nge adum pilibadawa poddaksalakilimath unana thawath lassanai ,Neutral 
niyamayi ayye hema kellama ohoma adinawanam mama asayi,Offensive 
killer b ube gani gana ne hora kiyanne 😬 😂 😂 😂 🔫,Neutral 
mona karath wadak na oyata hire yanna wenawa,Neutral 
yanakota aran yannada thatu thatu gaha gena thiyenne,Neutral 
mehema hari athal ekak denne rayan aiya witarai,Neutral 
yang pilih allah like yang pilih dajjal abaikan,Neutral 
unp avanam piymi vage ganunta mun sapa dei,Neutral 
asawen balan inne hasinige valak leak wenakan appa 😂 😂 😂,Neutral 
boru hiru oka kiyanna avith inna china kararanta,Offensive 
thopi wage lamainta me athmedi hena wadina ona,Hate
pau deiane thaththa nathuwa e patau kohoma innada,Neutral 
a unath neethiya nemune neththe syandya ta witarai,Neutral 
matath me wedin ekata awanm baduwak gahanda thibani,Offensive 
kari pic ponneya dan ara ammta monada kiyanne,Offensive 
mawani dawal idiriyata wanna danna apa janapati tumani,Neutral 
me wage unta aya udau karanda apa aya ,Neutral 
ko ane ada  ta daanwa kiyapu vdo eka ,Neutral 
please mebam video kol me ok love u ,Neutral 
uba munwa athal ekata ganna ekath maru bn ,Neutral 
me education system eken vadipurama bihiwenne ganikavoi kuddoi pathalei thambinge valan hodana aya,Offensive 
oakata monawahari rajaya kaloth anura eyata viruddhawa hakeemla ekka paaata behela udghoshana karanawa,Neutral 
ane wasanawantha you walk oba depalage jiviththya sarwppa karayenma diunuwen diunuwatama path wewe,Neutral 
macahn chathura uba program eka handle karana widiha patta harima lassanai jaya weewa,Neutral 
mokadda yko me lnkwta wela tiyenne monda me jra sindu 🤮 🤮 🤮,Neutral 
ehi pillam nogasannam oya husman sipa gannam oya nidrawe nidrawe,Neutral 
hama thapparekama ammala mona de karanneth duk vidinne daruwo hinda,Neutral 
akane masayak vedara idanasanpan pakre eka vahandai one gamath eka,Neutral 
rangana is one of the worst in media so cheap,Offensive 
ada uba puka dena mahinda rajapakshatath puke aragena neda mmm  🖕,Offensive 
kari samanthaya thoowa thma dkl nhne mn dkka daata thoge,Hate
mun hithan inne lassanai kiyala okkoma ganja gahala pissu natanne,Offensive 
me vage bade gena me chanal ake ponnayata gahanna ona,Offensive 
wow aiye patta bun kochara ahuwath epa wene naha deiyo,Neutral 
keri tambiya polissiyata bara dennna tibbe saladi wenna dila keriyata,Hate
okkomath hari me malinthagei saheligei gon kathaiwedaine iwasan inna beri,Offensive 
atha a taruniya kiyanne muslim kanthawantath akama nethiyak genna one,Neutral 
wesa genita hena gahapiya rate nayakaya ponnayek unama ohoma tamai,Offensive 
oya thathwen tyenne eka dwsai ape minisunt kohed owge wtinakamak,Neutral 
ape unta oke yanna uganna wenawa neth nam kala dawi,Neutral 
aiyooo mahinda attatama lajjai oba tumawa nati kala golayo tika,Neutral 
patta try eka si kenekds koheda kohoma hari tackle kara,Neutral 
meka yakooo marai bn umbe hakiyawahiniyta dena kindi thama pattama,Neutral 
ratheran minissu kiyanne onna oya ayata api hamotama udauviyautui davipihitai,Neutral 
wedenam hodai kolla knawa thawa podden nngi oyath marai aaaa,Neutral 
malli karana wada nida ayyata pare bahala yanna baruwa athi,Neutral 
mewa kala dai dawasata dekata kohaka gon hathikarayakne rate inne,Offensive 
awajathaka heththa munta chande dena apitama thama gaha ganna oni,Offensive 
lankawe hodama gone badu tikai e mada inna buruwo tikai,Offensive 
polawa palagana yanna hithenawa yako me wa dekala thu nodaking,Hate
mulu amathi mandalema nathuwa dammika pererawa dammanm hari respect sir,Neutral 
lankawe dan badui horui minimaruwoi mankolla karayoi tamai inne dan,Neutral 
metharam budu dahama adahana rataka me wage deyak wenna puluwanda,Neutral 
ape rate oya sakkili haththa innakan rata hadanna baha mahaththayo,Offensive 
me kellage demapiyo thawamath n eka gaththe nathi eka pudumai  🤨 🤨 🤨 ,Neutral 
meke title ekama lejja nethi ewunge pajaathi jada gathiyak penwanne ,Offensive 
mounda me kudu ghlda huththo awe kahinnne katha kragnna ba ,Offensive 
thuk witrk  🤮 🤮 🤮me wge dewl dala views gnn hdnne oya talented ndda 😒 😒 😪,Neutral 
ballekta jaathaka wechcha wesige putha thatha kakula ussalada chuu karanne kiyala balapan,Hate
dan kudu wikunannath bahane kunuharpa tikak soft karala wikunanawa keeyakhari hoyagannath epai,Neutral 
Ryan ayye meyawa contact karala dennakome okkma hari sugar mamy kiyanne kauda  🤔 🤔 🤔,Neutral 
ryan ayya ape samajeta me program eken hoda panividayak denawa good job,Neutral 
ha ponnayo me koheda hutho herunika ranjan mewa piliganba itn wahallu thama,Offensive 
thopi okkotama pissu thama thamange ganu daruwanwa hodata hadaganna balliyo hadanna ba,Offensive 
mechchara wedagath video ekak dala thiyanakota meya theru ganna beri harakuth innawane,Neutral 
muslim ayata aka viwahayk pamank kara genimt nithiyk genwnm vote krnw obata,Neutral 
oyage thawakalika sathuta uparima winda ganna okata windawanna weddi daraganna bari wei,Hate
amanussayo tikak niwan dakkanna puluwanda eka paratama mewa tama buddagama waraddagatta than,Neutral 
kandana town ekath ohoma tami bokkuwak hadanawa road close karagena masayak tesse,Neutral 
me wage ayath policiye innawa neda mage jivithetama habahin dakkamai ela ela,Neutral 
meka balanakota andenawa ai mewage minissu apiwa palanaya karanne naththe mokada kiyala,Neutral 
ane mahaththayo salli hoyanda lontha pakada padangu wesiyo form karanna epa huththo ,Offensive 
me kollata lankave kellek nadda love karanna 🤟 🤟,Neutral 
ko pko gema gahapu eka uuwa pennapan,Offensive 
and kohoma hari karanawanam onna niyama wadak,Neutral 
radda thama owa gana unta gahanna ona,Neutral 
meyage namba aka awanna mata ona meya ,Neutral 
oya cap eka dan inne kollekda kellekda ,Neutral 
me actress ge name eka danna aya reply karanna,Neutral 
hotel ekak kadan vatila kiylane kiove kalin geyak udata,Neutral 
math nuwara eth nuwara tharam musala eun kohevath ne,Offensive 
api nam dannawa oka wayi kiyala kisima marks nha,Neutral 
munta aei neethiya kreyath maka karanna baya ratakatageya kalak,Neutral 
rayan umba babaa bisket kudu babaa doi doi doi,Neutral 
meki lesbian tamai wena ekakata awilla ahannet natuwa qwa,Offensive 
rayan ge hode kiyanne hamogema katin gannawa hithe thiyanade  😍,Neutral 
munta hite mun hari lassanay kiyala apitanam pukenut hinaaaaaaa 😂 😂 😂 😂 😂 😂 😂 😂,Neutral 
bra ekk adan meki dana ketayam ambekke dewalewath nh,Neutral 
kuddanwa hire yawala hariyanna auda pennanna ekka yanna thiyenne,Neutral 
lihini oya natanna ane duk mood dammata vadak na  😜,Neutral 
harak kumarida atakota harakek unai kiyamuko atakota araka punnakkuda,Offensive 
lihini pawu ane wena dewal nisa godak duken enne,Neutral 
budu sasuna bebalewaa oba wahanseta uthum niwanin sanasima lebewaa,Neutral 
policiye un hithan inne ltte karayek ahu una kiyala,Neutral 
rate tiyana nithiya nisai baya minissu udau karanta sir,Neutral 
munta hikennama gahanna ona munthamai dan hadena lamai narakkaranne,Hate
lassanai eth ai eyala anthimedi hambenne naththe ekata dukaaaaaaaaaaaaai,Neutral 
mendis hadune banina aya nisa thamai athnam thama fail,Neutral 
me podi ayta ynna kiynnko aneere video eka kewa,Neutral 
giye para kelewa katha me parath kelewa gante athenne ,Offensive 
ane mnda mu gon vidio danawa api ewa balanawa ,Neutral 
lokuwata rata gena katawa badu genalla gon part danawa ,Offensive 
ponna huththo owa pennala kollo kello winasa karanna epa ,Offensive 
man aasama tik tok akka prom queen ishi manisha  😘 😘 😘 😘 😘 😘 ,Neutral 
konde wawala kalisama gahla inna kenage gender eka mokkd  🙄 ,Offensive 
meki hoday badu gahana unyam para hetta vidyo aka hary ne,Hate
mona uath man meka thama ahanawa smokiyage rap eka maru ban,Neutral 
iraj aiye kella eka edumak wath netuwa inna video k karannako,Neutral 
ai meka youtube eke sign wela nati ayata play kerane beri,Neutral 
piumi hansamali akki thama me vedieo ekata hariyanne eya hari lassani,Neutral 
ponna pako pau ara ahinsaka bilinda tho sudana wennada dadanne yako,Hate
anthawadi pakayala thopita wadikal idak na sinhalayage iwaseema bayai kyla hitandepa 😡 😡 😡,Hate
api oba thumnlge pettemun wge unwa raten pannanna oni devi pihiti,Neutral 
meki pissu uththiyek apee ponnayo gihin unwa from karanwaa pissu kariyo,Hate
mun wage jara ganu bududahama ateyata munta panuwo gahala maranna ey,Hate
wiyadam karapu salli walin ahinsaka minisunta kanna adinna dunnanam kochara hodada,Neutral 
nodakin witarak melo lassanaknam naa wesawiyo natawanawa supiri pasidda ganikawo mun,Hate
mn monawat keyan ne eyalama puwat mawanawa aphasa vehen ate kragnnawa,Neutral 
mune okkotama apaya thamai nosandala nahadichcha hatta hena gahanna ona okunta,Hate
atulugma ahn nathi unwa sihi nathiwenna hri ghla oya parikshana krnna,Hate
dan ethi muuwa hambavela gaththa daruvo muutama bara deepalla mooda gaanu,Offensive 
lihini and aksha athar kthawa yaddi chumpn sadde ahuna ay kauda  🤔 😄,Neutral 
meka wenuwen idiripath wena kalakanni lawyers lage paul pitin had gewiyan,Hate
sudu sadu sadu budu saranayi apa hmuduruwana oba wahansata godaak pin,Neutral 
ako ratama ltte eke salli walata wikka munta ira hada payanawaneeee,Neutral 
ponnayo danne kellek aduwa gaman laga inna kollekta allan gahanna witharai,Offensive 
hadannanam puluvan eth oka reddak adan dagena yanne kohomai ape handuruvane,Neutral 
mathakane kalayak ape un fite fan ellan gihin rexona market kala,Neutral 
mewa thiyana widiyata keedawasak thiyaganna puluwan weida ape moda noogathun ekka,Neutral 
gothrika ratakata me wage dewal dunnata reka ganne ne kiyala sure,Neutral 
me rata hadanda sakkarayage putha waima awath ba ane pau sanga,Neutral 
kuhaka jathiyata kawadawath hoda de denna baun wenasa karala danawa owa,Offensive 
mach dahayaka bindhu gahala eka mach ekak witarak gahala madhi malli,Neutral 
phi has passed the responsibilities to neighbors it is phi;s mistake,Neutral 
anith ekita kiyanava vesa baduv a kiyala eki paththini ammada koheda ,Hate
akka babage redi mirikanne kiyala ahala tiyanne ethakota eya adanawa wedilu ,Offensive 
badinna kalin room gihilla wena pawa sellm na mena film ek ,Neutral 
hks eya suduielu natural colourlu eyage 😅 😅 😅 😅 tik tok eke no filterlu 😂 😂 😂 😂 😂 😂 ,Neutral 
me wage nahadichcha vedios daana epa ape daruwoth balanawa kolla mongal nisa hodai,Neutral 
unlike karla passe kaleka like karapu un innawada,Neutral 
piyumit anith hama kellekm paradi kiyn ay ko me pththta,Neutral 
patta music e kale rellata bannata meka patta wenasma ekak 👏 ✌️,Neutral 
rapa eka maru bee killer quot;ali aththu ehi pirala aththequot;,Neutral 
nilame galwana oi redda boru kiyana nilamela thopi yata une ne ne,Neutral 
nedakin kalakanni thopita yannaye thibune hathara wateetama keegahannane thattu wal hadagena kalakanni,Offensive 
lajja nadda yako mehema me lamaya amutu satekda topita video karanna taram,Offensive 
thoge putawa adata ganen eta wada hodai sameta gona jonsan,Hate
samitha man akka katha karanna mn balan inne,Neutral 
anee manda kawada hari samaitawa balala epawela samitage duwath hodata bala ganiiii,Neutral 
baina ewun meka balala mekata baninawa unta balnna hodai gonnu,Neutral 
mewage channel akak dagena wesiyo form karanwa me wesith akka amma wesiwath,Hate
haiyo harendra oya oy wage jara party wlt ynn epa 😢 😢 😢,Neutral 
 🌹 🌹 🌹 🌹 🌹 🌹 🌹 sadu sadu saaaadu theruwan saranai nirogi sampath samaga dirgayu labeewa oba wahanseta  🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹 🌹,Neutral 
iraj api me theranin wahanse saha samanthabadra thero akka doc ekak karamuda,Neutral 
minissu fun ganna ona ban karaganna bari kuhakayo irisiya karanawa,Neutral 
fill t aiya ayeth video ek promote krnnd mek delete kla qwe  😘,Neutral 
ai bn so so gaanne messek gilala wage,Neutral 
ape sinhala un paduwe policesiyata barawenawanam muslim thopita bari ai wedi thiyapiyaw,Offensive 
mun serama allanama oni muslim eunta mewa haram nadda ethakota,Offensive 
mage hithata aka godak waduna sr aththa sr a kathawa,Neutral 
kare hamba uru pakak puka arnna ona okaga,Hate
chatura senarathnage kathawak ahanna deepalla okata gahila marenne wena danduwam onema ne,Offensive 
yako mi maruwe kawuda kiyala kurulu asdeken dakapu kurulu lovitwa hira kara,Neutral 
deumige kata nikam takarama wage melo rahak ne kate heti,Neutral 
kanjipan iddi mu maruwe mokda kiyla thma aula lassanta kathawa liyla thiynawa 😂 😂 😂,Neutral 
sadu sadu sadu apita pahadili darmawabodya labadena himipananta teruwan sarani niwanmrgya awabodwewa,Neutral 
bona unta bus eke megala gihin bol gahanna thamai tiyenne,Neutral 
kalaa karuvekuta sammaanayak pirinemiya yuththe iita ihala talaye kalaavek athini,Neutral 
hama agamakatama hama sanskruthiyakatama garu kireema ethana thamai ape pawathma,Neutral 
thawath minihek geana hithana minissu innawanam mee puja bumiya apirisidu wenne nee,Neutral 
godak duka hithuna e wagema gadak sathutu hithuna mewage ayagana,Neutral 
lankawe nam thama hon gahanawa ape minissunta puduma hadissiyak tiyenne pare yaddi,Neutral 
ape sakkiliyo meka hariyete pavichchi karanna apeme minissu hadanna ona rata hadanna,Neutral 
hodama nirmanayak music singing patta thanks widinna puluwan song k apata dunnata,Neutral 
oke oya welawe emathiyek hari mantriyek hari giyanam balaganta thibuna police kata,Offensive 
huuu namalta kiyapanko oka puken yanna wenne puken guu kapiyaw,Hate
chathura aiya viyaparikayoma gennala me wade kranna digtama hadena minissunta loku udawwak wewi bs,Neutral 
yes so but ammage redda pala belli konakata dannttn waren kiyala denna,Hate
adeeh ayeth gihin live ma awith ada udama balapan konedeth awl mekige,Offensive 
lajjawai aththai waha ganna klchchara vidio dammath boru kiwwat wadak nh hasini paw oya,Neutral 
lankawe phi la takta minissu ekathu wela gahanna one kalakanni,Offensive 
tik tok ain karanam iwara a ,Neutral 
oya sundara lokaya na nangi lamaya labunata passe apith ohoma thamai hitiye ,Neutral 
meya ganikawakda piyumi wage baduwak kiyana aya lake karan yanna ,Offensive 
me chanel eke nethiwechcha prasidhidhiya ai ganna yakoo miliyana k thiyena videoth thiyenawa,Neutral 
loku therumak thiyana bawa aththa me mathrukawa hari sankeernai iraj pahila madi ekata,Neutral 
thnkx iraj aiye kauruth nodakinasamaaje yathaarthyaapita therena widihata pennannala denna uthsaha aran thiyenawa,Neutral 
ykooo paw ahinsaka pawla munta beri unada anith minissunta kiyanna ubalata hena gahanwa  😂 😂,Offensive 
iraj puluwan nam dharmaya hoyaganna onna ubata maga pedila thiyenawa sath dharmaya ahanna,Neutral 
badu wela ithapag bron videos karanna eppa ewa othane kollo manasika wetanawa pls,Hate
ane ape poleciya ekka balana adamawa me genu samaharu halloween duwanawa ana ammapa,Neutral 
muslin pakayo gahala maranna ona un thama kudu bisnas karala sinhalayawa nathi karannee,Offensive 
maha seeyata maagee jeevithaya puuja wewa puuja wewa puuja wewa namo buddhaya rohini,Neutral 
jivite nodenima amuthuma tenakata geniyanawa sadu sadu sadu ape dahama api rekaganna ona,Neutral 
manussakamai deshapalanayai wenas puthiii a deka aduraganna beri munta kawda yako sammana dennee,Offensive 
ape rate enne gotthrikayo unwa hadanna baha un thama gas gal walata wadina,Offensive 
ekata ape aya udgoshana witharai anna mahajanayage salli walin igena ganna niyama lamai,Offensive 
thamage thiranaya hoda weida balamu desha palane nokara baida hoda wada piliwelakata yanna,Neutral 
supiri bn share walin aththatama udawwak labila thiyenawane ara deiyyange magul nethuwa oatta,Neutral 
me jivethe gevana tikakale hri deval kaloth marenakal eva mathaka thiyevi budu saranai,Neutral 
matath ohomama bana dheshana karanakota k duna gaman parissmeen yanna putha kiyala kiwa,Neutral 
chathura aiyata jayawewa dhammika perera rajawewa lankawata dahasak watina supiri molayak tina manussayek,Neutral 
aluth kollo laga tiyagena ubala denna karapu kathawa a taram hoda ne sahola,Neutral 
mu appiriyay gon ganu gennala shik ubta asahaneda ban wadak athi deyk krpmko ,Offensive 
a lamaya katha karana vidiyta mona unath hoda lamayek wage happy brithdy oyata  👍 👍 👍 👍 👑 ,Neutral 
tatto paradice eken dakkanam muwa gannawa ekt mara ikmnt gahanawane tatto,Neutral 
ithin me minissu harima athmarthakami ammila hummila den ithin baila gahapalla,Hate
meyala lassana kathandaraya gothanawa eth yatharthaya okada wede weredanakal ey unne,Neutral 
mewata balloth hukala athi e tharam kunu badu set ekakk inne,Hate
lejja nedda manda me genita thamange daruwoth laga thiagena karana weda,Offensive 
mee mona wesa boduda wena naththam ithin paththa kaali pau ithin,Hate
daruwek inna ammek ne e daruwage jeewitheth me pissu geni kanawa,Offensive 
meya bomba deka pennanna mara gemak denne paw ithin mona kiynnada,Offensive 
ranjata piumita ane manda mewa dakina samaje thawa tika kalekin iwarai,Neutral 
report karanna kollo kello tikka mee huttawal ain karlama daapalla bn,Neutral 
garu janadi pati tumani me gana balanna dewani madamta jaya wewa,Neutral 
man hithanne samalkata adarekarala nangi akka yalu wena eka hari na,Neutral 
den nm gon athal thiyenne saheligei ara mokada ekagei guuuu derana,Offensive 
mewatanm kisima samawak denna hoda ne baladaringe ash arenna ona mrwatanam,Neutral 
as deken dakala nathi 😑 ahamben hamba unu hadawathe guruthuma thissa sir  ❤ ❤ 🙏 🙏,Neutral 
lisan nathawa yanna puluwan yako api dannawa oka veede nattiyak kiyala,Neutral 
pirtiha yanu manthara nowa gana pihitanna sathya pamanai gana pihitanne bamuno,Neutral 
kawda oi me giriya yatin ka gahana eka :p epa wenawa,Neutral 
ohoma daala tommorowland tos danna epa huththo sahara flash ghanne owage,Offensive 
lankawe un kapu beepu ewa ethanama rena unt a mewa hariyaida,Offensive 
wadagath news tiyenawa nam dapan mchan me wage chater ewa noda,Neutral 
meka me magulak newe kudu badu wesa atal k iyaaaa filt,Hate
aniwaren balapalla hodai hodai kiya kiya ara baduwa sudda karan un ,Hate
aththatma paw e nangi e wagema kellekta unu asadaraneth paw attami ,Neutral 
nannaththaara wesa genu lingika adyaapanaya gena kathaa keranawaa ratakata giya kalak ,Offensive 
shakila gu baddat ekka inna ara lassana baddge nama mokdd oii  😂 😂 😂 ,Offensive 
oya art akata lankava thama parinath na aiya aky,Neutral 
moda wassai wessii mehema awnge passen yana awn ennawane,Offensive 
idakin mage gani ehema ohoma natuwoth eki ada ne,Offensive 
ganikawo tika eka thenakata set wela ganika wedding ekakata,Hate
dan mehema hari kata karala ta issara mehema ba,Neutral 
me minissunta onnathi deyak na kath ekka hitiyath moko,Neutral 
happo mekath ithin api merenakanma thiyei iwara wenne mewa,Neutral 
goon program nikann cune karanna apa gonn harak harak ,Hate
ponnayo ralakme video eke inna okkomawa hireta daanna oniimun yako prasiddiyema kudu badu gahanawane,Offensive 
karanna puluwan wanachara kam okkoma karala moonu wahagena inne lajjaida gahanu sanhathiyatama ninda karanawa,Hate
boru sobsna dagena jeewath wennai mewakaranne athapaya wehesa karala haba karagena kapoyaw aids boonokara,Offensive 
machan avankavama mawage daval karanna epa meva lankavata hariyanna na bro meka bauddha ratak,Neutral 
ryan brow the c which u snored looks good u r mouth running ;,Neutral 
asai habai nathi un kuhakai un baniawa,Neutral 
api dannawa ban meka fillt gei aran gon gaanigei sinduwak release karanna hadanne kiyala,Offensive 
dhammika perera godak hodai namuth lb finance asadarana wada karanawa methuma danneth nathuwa athi,Neutral 
mn ube videograhpy walata editing walata bokenma adarei bn ube videos mn para balanawa,Neutral 
apalee dodam rase kanna iiii chocalate chuingam rase kanna iii coment balana awa ayat ,Neutral 
ashen naaya haara haara inna epa ban ,Neutral 
piriminge feelings heellu karanna hadanawa geenun mehema dagaladdi eewata asakarana pirimi innawada,Neutral 
me sinduwe viswaaa tatoos eka gahana peththa wenas awasane pennana peththa qenas,Neutral 
apaye gettuwa ariyayahama warenko ubata issu karannam ube ammage kimben pani berenna 😳 😁 🤛 😏 😂 😂,Hate
minissu marunata passe asthawara idikirimak kiyanna mokata rajya ayathana serama wahanna ona,Neutral 
pau mey punci paula  😥 😥 😥niwan suwa labewa yali mewan akall maranyak nowewa  🙏 👼 🙏 👼 🙏 👼,Neutral 
gon wada karanna epa a lamayage details video krla ewa lankawatama pennala,Neutral 
ara kolla ratu paata file eken mokak hari wahan innawa wage nadda 😂 😂 😵 😵,Neutral 
me henata comment dapu ewwoth me video eka baluwe thumbanail eken dakalane,Neutral 
