Coment,Status
ඔයා අපගේ සොල්දාදුවන්ට දොස් කියන්නෙමු අපේ ඊනියා මුස්ලිම් ඇමතිවරුන් දෙනා කරන්නේ කුමක් ද,Neutral
මුස්ලිම්වරු ප්රකෝප කිරීම නවත්වන්න: ඔවුන් දින ක් දිනකට ශාප කරති,Neutral
කිසිම කිතුනුවකු යාච්ඤා කළ යුතු අතර මුස්ලිම්වරුන් සාමකාමී ලෙස ක්රිස්තියානි ආගමට හැරවීමට උත්සාහ කරති,Neutral
නොම්මර එකේ බුකී කාරයා සභාපති පුටුවේ තියන් ටෙස්ට් තත්වෙ හරි රැකගෙන ඉන්නවට අපේ කොල්ලො ටිකට තැගි දෙන්න ඕනෙ,Neutral
සිංහයනි අපි තව දුරටත් නිදා ගෙන සිටිය හොත් අනාගතයේ අපේ සිංහ පැටවුන් මෙවැනි ම වූ ම්ලේච්ඡුයන්ට ගොදුරු වීම වැළැක්විය නොහැකි ය,Neutral
ඇන්ජලෝ මැතිව්ස්ගේ ගොබ්බ නායකත්වයට පිං සිද්ද වෙන්න,Neutral
මුස්ලිම් අයට නම් සහජීවන නීතිය හෙල්මට් නැතිව ගියාට අවුලක් නැ,Neutral
අපේම සිංහළයන්ගේ නිෂ්පාදන ගන්න සිංහළ වෙළද අධිකාරියක් ගොඩ නගමු,Neutral
බල්ලන්ගේ ලේ බැලිමේ පිපාසයෙන් පෙලෙන මුස්තාපා,Neutral
සිංහලයා මෝඩයා කැවුම් කන්න සූරයා,Neutral
පෝස්ට් එකක් ෂෙයා කිරිම හෝ නොකිරිම ගැන විමසීමට වඩා අවබෝධ කරගත යුත්තේ සිංහලයා මැරු මුස්ලිමානුවෝ පර බල්ලෝ,Hate
සිංහලයා බල්ලාට දමා සුද්දාට පර දෙමළාට සහ තම්බියාට ගිය රටක්,offensive
ෆොන්සේකා සිරිසේනගේ අමුඩය ඔලුවෙන් ගලවයි,Neutral
දනිස් උරහිස් වහගෙන අපි පිදුරංගල යන්න ඕනි මේක හරිම පූජනීය තැනක්,Neutral
සුද්දි අපිට කියලා දුන්නු පිදුරංගල වටිනාකම,Neutral
පුක පෙන්නපු හරක් වැදපන් මෙ සුද්දිට දනගහලා උන් ලංකාවට ඇවිත් ලන්කාවෙ එව්න්ට උගන්නල යනවා හැසිරෙන්න ඔන විදිහ ලැජ්ජයි යකො වහා කපියව්,offensive
මේ සංචාරකයෝ සිගිරි යන්න රු විතර ටිකට් එකක් ගන්නවගිහින් එ් මිනිස්සුන්ගෙ හැදිච්ච කම ලෝකෙටම පෙන්වනව,Neutral
අපේ මොට්ටයො නිකන් ගිහින් නිරුවත ලෝකෙට පෙන්වනව හැබැයි ඔවුන් දන්නැ සුද්ද දිපු ඩොලරයෙන් ලංකාව ශක්තිමත් වෙනව මේ මිනිස්සු හිතන් ඉන්නෙ හෙලුව කියන්නෙ මාකට් එකක් කියල,Neutral
ලංකාව තමයි බුරුවන්ගේ රාජධානිය එකනේ උන් එකතුවෙලා අට පාස් එකෙක්ව උන්ගේ නායකයා වගේ පත්කරගෙන ඌ කියන ගොන් කතා වලට හුරේ දදා ඉන්නේ,Neutral
ඒකට සුද්දිට බැනල වැඩක් නෑ,Neutral
රජදරුවන්ගේ මග පෙන්විමෙන් එකල සිටි අපේ ගල් කැටයම්කරුවන් ඉංජිනේරු ට ගරු කිරිමට හුරු වෙමු,Neutral
අම්මා වටේ ගිහින් ජාතක කරපු උන් කැත වැඩ කලාට සමස්ථයක් බෞද්ධයන් එහෙම නෑ මේ තරුණිය කොතරම් ආදර්ශක්ද,Neutral
පිටරටකට ගියාම තේරෙණවා අපි මීට වසර දහසකට පෙර ඉඳල තියන්නෙ ලෝකයට කොච්චර ඉදිරියෙන්ද කියල සුද්දො මේවා වැනසුවෙි නෑ වනසන තැනට අපේ එවුන්ගෙ මොල හැදුවා ඒක තමයි එදා අනගාරික ධර්මපාල තුමා කිව්වෙ,Neutral
ගිය තැන ගම කන පරපුර ක් අද සමාජයේ ඉන්නේ සුද්දි දකින දේ අපේ උන්ට දකින්නට මොලයක් තියෙන්න එපායැ,Neutral
මම මැයගේ අදහසට ගරුකරනව,Neutral
අපේ මිනිස්සුන්ගෙ හිත්වල ගුනදහම් ඒ විදියටම තියනව හැවැයි යටපත්වෙල,Neutral
ඉපදුන රටට ආදරය කරල රට රැකගෙන ඉන්න දන්නෙ නැති හෙනහුරන්ට හොද පාඩමක්,Neutral
අල්ල්හු අක්බර් මේ අපේ පරම රමණීය දෙවියන් වැඩි තැනක් මෝඩ සිංහලයෝ,offensive
මගෙනම් අදහස ලකාව වගේ රටක ඔහොම දෙයක්වත් වුන එක ගෑන එයාල විශ්මයට පත්වෙලා කියලයි මොකද ගොඩක් වෙලාවට වෙන්නෙ ඕකෙ අනිත් පෑත්ත,Neutral
මොනවහරි හොද දෙයක් උනහමත් නුවරයි දකුනේ වුනුයි තරම් උඩ පනින උං මේ රටේ මොන කොනේවත් නෑ,Neutral
ඇත්තට ඔබවැනි අය අපිට අඩමිබරයි,Neutral
පුතා ඔයාගේ කට හඬ ඇසීමත් සතුටක් ඔයාට සුබ අනාගතයක්,Neutral
අති විශිෂ්ටයි මල්ලියා ඔයා අපේ රටට සම්පතක් තෙරුවන් සරණයි,Neutral
අපි මෙහෙ අගයනවා ස්තූතිය කෙසෙවෙතත් ඒ කොල්ලාට නඩු දාලා පර හැත්ත,Neutral
රටකට වැඩ ඇති දරැවෙක් මල්ලි ඔබ තෙරැවන් සරනයි,Neutral
ඔයාට ජය වේවා මෙන්න වැඩ කරුවෝ,Neutral
රටෙි නායකයට කොන්දක් තිබුනන් අපට මෙහෙම වෙන්නැ,Neutral
ලන්කාවෙ එකෙකුත් තනි අතින් ගහල මුලු ටෙස් මැච් එකක්ම දිනෙවුවා,Neutral
පොත්ත අතගාල අරටුව ගැන කියපු එවුන්ට රිදෙයි දැන්,Neutral
ලංකාවෙ මිනිස්සුන්ගෙ තියෙන්නෙ එකම එක අවුලයි ඒ උන්ට තේරෙන්නෙ නෑ හොද පාලකයො තෝරගන්න,Neutral
ඒම වැඩ දාන උන්ගේ ළඟ තියෙන සමහරක් ගතිගුණ උගත් බුද්ධිමත් මහත්වරු ළඟවත් නෑ ඒකයි අපි ඒ තරම් පහළට උන්ව දාන්න හොඳ නැත්තේ හැම එකාටම ගරු කරන්න පුරුදු වෙමු :,Neutral
උන් දෙන්න සමහට විට මේකට කොමෙන්ට් කරයි බලමුකො,Neutral
අපේ මිනිස්සු අනුකම්පාව මනුස්සකමින් පිරුනු අය බව තේරෙන්නෙ ඒ වගේ අවස්තාවක,Neutral
වැඩක් නැත්නම් ගොන් ආතල් නොදී හේනක් කුඹුරක් කොටපන් මී හරකො,Neutral
පිස්සු වැඩ කරන්න යන්න එපා මනුස්සයෝ මෝඩයා,offensive
නියමයි කොල්ලො කාලකන්නි දේශපාලුවන්ගේ පරන්පරාවල් හැදිගෑවිලා පලයව්,Hate
දෙමු හැදිගැවිලා යන්න සියලුම දෙශපලුවන්ට,Hate
මහජනයාගේ මුදල් වලින් වැජඹෙන කාලකණ්ණින්ව එළවා දමන්න කාලය ඇවිත්,offensive
තොපිට ඔහොම වෙිලා මදි,Hate
හික්මීම ආගමකින් හෝ තමතුලින් විතරක් අනදෙයක් නොව සමුහයක් මුළු සමාජයක් විසින්ම පුරුදු පුහුණු කලදෙයක් බව පැහැදිලියි,Hate
ලංකාවේ ඔහොම බස් එකක් දැම්මොත් ඒක තහනම් කරන්න කියලා පිකටින් යයි එහෙව් එවුන් ඉන්නේ මේකේ,Hate
බැලුවහම මුන් මොඩයිනේ අම්මප පොඩ්ඩක් ඉස්සරහට කරල නැවැත්තුවනම් හැමොටම පහසුනේ මේක අගයකරන්න දාපු එකා පිස්සේක් මිස සමනය මිනිහේක්නොවේ,offensive
මේක මහ පිස්සු විකාර වැඩක් නෙ තවටිකක් ඉස්සරහට අරන් නැවැත්තුවනම් ළමයින්ට විශේෂ අනතුරක් වෙනවද,Neutral
අපේ රටේ උනානම්මාර්ගය අවහිර වනසේ වාහනය නතර කිරීමයන චෝදනාව යටතේ නඩුත් පවරලා,Neutral
ටෙනිසන් කුරේලට බන්දු සමරසින්හලට අද තැනක් නෑ ඒකට අලුතෙන්ම බිහිවුන කෙනා දැන් ජන්දෙ දීපු හැටදෙලක්ෂයට සතුටු ඇතිනෙ,Neutral
තුවක්කුවක් අරන් එකෙක් ඉස්කෝලෙට පැන්නහම තිහක් හතලිහක් එක පාරට ඉවරයි,Neutral
අපේ ලංකාවෙ ඉන්නෙ කාලකන්නි රියදුරන්,offensive
ලංකාවේ ඉන්න මිහරක් තමයි,offensive
ලංකාවත් මේවගෙ උනානම් කොච්චර අපූරුද,Neutral
විනීත විනය දරුවෙක් පුංචි කාලෙ ඉදන්ම පුරුදු කරන්න ඕනේ,Neutral
බලය ලැබිලත් මිනිස්සු කලකිරුනම මෙහෙම ඇත්ත කියනව ඇඩ්මින්ට මෙතනයි වැරදුනේ,Neutral
අපේ රටේ මෙහෙම දකින්න කල්පයක් බලාගෙන ඉන්න වෙනවා,Neutral
ඔයවගේ හරක් ඉන්නකම් මේ රට හදන්න නොහැකිය,offensive
මෑන්ට අමතකයි රටේ ජනාදිපති එයැයි කියල,Neutral
නුබ ආදරනීය දුවෙක් මම අහල තියෙනව තාත්තාට වැඩියෙන්ම ආදරේ කරන්නෙ දූලා කියල ඒක අද මේ දසුනෙන්ම පෙනෙන්න ඇතැයි මා සිතනව,Neutral
ඒකට අපේ සමහරක් නෝනලා මෙඩිකල් නිසා යන්නෙ ගව් ගානණක් උඩින්,Neutral
මෙ වගෙ කෙල්ලො ලන්කාවෙ හිටියනම් කොච්චර සුන්දර වෙයිද,Neutral
ලංකාවේ කෙල්ලොන්නම් කෘතිම ස්වසනය දෙන්නේ නෑ එක සුවර්,Neutral
මේවගේ අය ඉතා අඩුයි බුදු සරනයි,Neutral
දුවේ නුබ දේව දූතිකාවක්,Neutral
ඒකට අපේ උන් බයි පාස් කරන්න ඔනේ කියලා ලක්ස ක් හොයාගන්න කියයි,Neutral
මොනතරමි වටිනා මනුස්සයෝද අපේ රටෙි උනානමි වාහනේ විදුරැවවත් පත් කරලා බලන්නේ නැ සත්ත එ්කයි,Neutral
බුදු සරනයි කිසිම දුකක් කරදරයක් නැතිව නිරෝගි ජිවිතයක් ගෙවන්න ලැබේවා ඔබ දෙපලට,Neutral
එ වගේම එම සතුන්ට තාවකාලිකව රැකවරණය දුන් ඇයට ගොඩක් පිං බුදු සරනයි,Neutral
තම්බින්ගෙ පල්ලි කැඩෙන එක ගැන කතා වෙන්නද දන්නෑ,offensive
තම්බියො සිහලයන්ට ගහද්දි නිකන් හිටියේ,offensive
ඉස්සෙල්ලාම සංගා කියන දේ අහලා ඉමු මුලින් නැට්ට නොපාගගෙන,Neutral
මේ රට කවදාවත් හදන්න බෑ පේනවනේ,Neutral
අපිත් බලන් ඉන්නවා ඔබතුමා පටන් ගන්න,Neutral
රන් අකුරින් ලියැවුණු ඔබේ නාමය කැත කරගන්න එපා සහෝදරයා,Neutral
කස්ටිය සැහෙන්න කලබල වෙලා,Neutral
අපෝ ගොන් දේසපාලෙනට ආවොත් ඔය තියන තැනත් නැතිවෙයි,offensive
අර ලංකාවේ ණය දවසින් ගෙවන මෑන්ට මද විරාමයක් දෙන්නද සංගා සමග නැගිටිමු කියන්නේ,Neutral
මොකාට දන්නෙ නැ එ පාර එන්න හද්න්නෙ,Neutral
පල යන්න ගොනා එනවා මෙතන රට හදන්න සල්ලි වලට කහින උන්,offensive
සංගා ඔය කියන එක හොරෙකුටවත් එකතු වෙන්න එපා දෙන ගේමක් තනියම අපි ඔබ සමගයි ජයවේවා,Neutral
අනේ නිකන් පලයන් සංගා යන්න,Neutral
අනෙ පලඩො උබ හදනරට එන්නෙ මොකාටද කියලා දන්නවා උබට දෙන්නැ චන්ද,Neutral
අපි මහින්ද සමග පෙරට,Neutral
ඔයාටත් දෙයියන්ගේ පිහිට යි,Neutral
මනුස්සකම නොදන්න ඔයාට වඩා චතුර හොදයි තව බන්,Neutral
උබට තිබුනේ මහත්තයෝ එදා උබේ නංගි මරපු උන්ගෙන් පලිගත්ත දවසේ ආයි පොලිසියට බාර නොවී ඉන්න,Neutral
ලංකාව හරිම ලස්සන සුන්දර මිනිස්සු ඉන්න රටක් කිවුවේ කවුද බන් අවුරුදු ගාණක් හිරේ ඉදලා එලියට ඇවිත් පන්සලකට වෙලා ජීවත් උන ඒ ජීවිතේ ආයෙත් අර අපායටම ඇදලා දැන්මා,Neutral
කාගෙ හරි බොරු පැමිණිල්ලකට අහුවෙන දුප්පත් අසරණයෙකුට වරැද්ද නිවැරැද්ද හොයන්නෙ නැතිව මාංචු,Neutral
මේ මනුස්සයට උදවු කරන්න පුළුවන් විදියක් දන්න කෙනෙක් කියන්න ඇස් වලට කදුලු එනව මේව බලද්දි,Neutral
ඒක හරි සරලයිනේ බුකි කාරයෙක් උනාම දිනන එකවගේම පරදින එකෙනුත් ලාභ ගන්නව,Neutral
සුවිශේෂී පාච්චාරණය කරව ගන්නේ නැතුව පාඩුවේ ඉන්න දෙන්න තිබුණේ එ්ක හින්දා ආයේම වරදක් නොකර ඒ මනුස්සයා හිරේට යනවා,Neutral
ඕන තරම් අනුන්ගේ දෙවල් හොරෙන් ගත්ත එවුන් සැප විදිනවා මෙයා වැරදි කරලා ඇති ඒත් ඒ තමන්ගේ නංගි වෙනුවෙන් තව මොනාද මේ මනුස්සයට ජිවිතෙ ඉතුරු,Neutral
ඒත් හොරකමකට අහුවෙලා අනේ මන්ද ඉතින් මේ නඩුව අහද්දි ටී වී දෙරණ ඇප දෙන්න කවුරුත් ලෑස්ති කලේ නැද්ද දන්නෙ නෑ,Neutral
ඇත්තම කතාව ඕක තමයි ලංකාවට එනවට වඩා මේහේ ඉන්නෙක හොඳයි කියලයි දැන්නම් හිතෙන්නේ,Neutral
පඩුවෙ ඉන්න දෙන්නේ නෑ මාමේ මුන් උබට නිදොස් කොට නිදහස් කරානම් තව නඩු කොහෙන් එනවද ාහෝ නීතියෙ දෙවගන,Neutral
සාධාරණය ගැන කතා කරන ලොකු උදවියට මේවා පෙන්නේ නැද්ද දෙයියනේ මේ ගෙවන අන්තිම කාලේ හරි එයාට සතුටෙන් ඉන්න පුලුවන් වාතවරණයක් තිබ්බා නම් එත්,Neutral
මුන්ගේ අප්පගේ රටක් මෙක දැන් කො යකෝ දේයියෝ බුදුන්,Neutral
කම්බහොරු නිදැල්ලේ ඉද්දි අවුරුදු ගානක් සිරබත් කාලා හෙම්බත් උනු මිනිහෙක්ව අල්ලලා මහාවීරකමක් කරා වගේ ආයිත් හිරේට දානවා නොදකින් කාලකණ්ණි,offensive
ඇප දෙනවනම් මමත් දෙනවා ගාන කීයද බලලා මේ රටක් වටින මනුස්සයව බේර ගන්න ඕනේ කාලකන්නි සක්කිලි රටේ හොද මිනිහෙක්ට ඉන්න නැති හැටි,offensive
කොන්දක් නැති ලොකු මිනිසුන්ගේ වැඩ දැන් මොන දේවල් කලත් වැඩක් නැහැ ගාම්භීරත්වයෙන් කරන්න තිබුන ටික කරල ඉවරයි මේ මහත්තයා,Neutral
තමන්ගේ නංගිට කරපු අපරාධය නිසා පලිගත් එක සාදාරණීකරණය කරන්න අපහසු වුවත් මේ විදියට ඒ මනුස්සයගෙන් දිගින් දිගටම අනවරතේ පලිගන්නෙකනම් අසාධාරණයක්,Neutral
දැන් අපෙන් ගත්ත වරාය අපිට දීපන් ආය,Neutral
විශිෂ්ටයි ලංකාවේ මිනිස්සු හොඳයි උන්ටත් හොරකම පුරුදු කරන්නේ අමන දේශපාලුවෝ,Neutral
හිත හොඳ අවංක කොල්ලෙක්,Neutral
නියමයි බං පට්ට ආඩම්බරයි,Neutral
එහෙ එකෙක් ලංකාවෙ වැඩට ඇවිත් අපේ අය එයාලව බලන්න ගියා නම් මන් කැමතියි මගේ පුද්ගලික අදහසක් විතරයි හොදේ තරහ ගන්න එපා කවුරැත්,Neutral
හැමෝම එක වගේ නෑ හැම ජාතියකම හොද මිනිස්සු ඉන්නවා සිංහල ජාතීයේ තමයි හොයන්න අමාරූ,Neutral
මෙ ලගදි ෂෙයා කරලා තිබ්බා පෙඡ් එකකින් මතක නැ දැන්,Neutral
රට දැය වෙනුවෙන් උරදුන්නට පක්ශ පාට බේදයකින් තොරව අපි සහය දෙන්නමු ජයවේවා ලොක්ක,Neutral
අපි ණය ගෙවනවනම් ඒක වෙන උන් හදන්න බෑනේ තොපිකාලා ඇදලා ඉන්නෙත් අපේ සල්ලි ලැජ්ජයි තොපි ගැන,offensive
නම් තැබිම නම් ඉතා හොද ආදර්ශයක් ගාල්ලෙත් ඕකයි කරන්ඩ තිබ්බේ,Neutral
ලැජ්ජයි රටේ පාලකය විධියට මෙවැනි ගජබින්න කෙලිනඑකගැන,Neutral
උන් නැමෙනවා වැඩියි බං බැරි වෙලාවත් ලංකාවෙ ඔහොම නැවෙන්න ගියොත්,Neutral
ස්වාභාවික විපත් නිසා උන් මොකටද සමාව ඉල්ලන්නේ,Neutral
අපේ දුම්රිය සේවය වගේ,Neutral
ඇත්තටම ඌ ඒම කියල ද කළින් මාලි වන්ඩේ වලට නම් විමේ ඉඩක් තියනව කිව නේද,Neutral
ලැබ්රඩොග් ගැන අපි දැක්කනේ,Neutral
සීනි කොහෙ තිබ්බත් කූබි වහනවා,Neutral
හෙන ගහන්නෙත් නෑ බන් ඕකුන්ට,offensive
කව්රුත් නොදකින සැබැ ආදරේ,Neutral
මීට කලින් දැකලා නෑ තමයි,Neutral
අනිවා කොහේ ගියත් අපේ එකෙක් ඉන්නවමයි,Neutral
කමක් නැහැ ඔහොම හරි කරලා හිත හදාගමුකෝ,Neutral
ලංකාවේ අය දෙනෙක් විතරයි ඉන්නෙ,Neutral
මූ කොහොමත් අක්කලටනෙ කැමති,Neutral
අපේ රටේ නායකයෝ මැච් බලන්න ගියොත් එදාට එක පරාදයි,Neutral
ඒකට මෙහෙ ඉන්න නොදකින්,Neutral
දැං එතකොට මෙයාට ජනාධිපති ධූරයේ වැඩ නැද්ද,Neutral
ඒ තත්පර දෙක ඉඳලා බලල යන්නත් තිබ්බා,Neutral
නැහැ මෙි විඩියෝ එක අපි කාටත් හෝද ආදර්ශයක් විඩියෝවේ අදහස් හිතට ගන්න ලංකාවටත් දැන් ඹිනේ මෙිහේම ඡනතාවක්,Neutral
කවුද යකෝ තමන්ගෙ රට සෙමි ෆයිනල් ගහද්දි ගිණි තියපු එකා,Neutral
අපේ උන් හිටියා නම් අනිවා කියනවා කලින්ම ගිනි නිවන ඇදුම් ඇදගෙන නොහිටපු එකට විනය පරීක්ෂණයක් ඕනේ කියලා,Neutral
එපේ උන් නම් මැච් එකත් බලලා සතුටට අඩියකුත් ගහලා තමා යන්නේ,Neutral
ජිවිතයේ ඒසුන්දර අත්දැකීම අවදිකලා,Neutral
සුදු ඇදගෙන අන්තිමට එන කෙනාව බලන්න මෙක තනිකර බොරුවක් බොරුවට කෙරවලට දුවලා නිකම් එනවා,Neutral
ඒකට ලංකාවේ ගින්න තියන තැනට ගහින් තමා වතුර තියනවද කියල බලන්නේ,Neutral
අෙප් ර ෙට් තරුණ පිරිසකට ෙම ෙහම වුණා නම් අැෙග් ශක්තිය තියා ගන්න භාවනාවක් වත් දන්නවාද,Neutral
කවුරු මොනා කිව්වත් කරදරයකදි අපේ මිනිස්සු ලංකාවේ මිනිස්සු දෙවිවරු අත්දැකීමෙන් කියන්නේ ජාතිබේද නැති මනුස්සකම,Neutral
ලංකාවේ මිනිස්සු හරි වෙනස් බන් උදව් කරපු උන් සියලු දෙනාට පින් ඵල අත්වේවි ඒ පිනෙන්ම සියලුරෝගීන් සුවපත්වේවි,Neutral
රටක් ජාතියක් වශයෙන් මනුස්සකමින් අපි අංක,Neutral
එතැනදී අපි තමයි ලෝකයේ පොහොසත්ම රට,Neutral
සුක්කානම අතට ගත්ත ම හොදට හිතන්න කලබලයක් නැ නිකරුණේ ජිවිත විනාස කරගන්න එපා සිහිබුද්දියෙන් පදවන්න මියගිය අයට නිවන්සුව ත් රෝගිනට සුවපත්බාවයත් පතනව අපේ මනුස්සය යන් ගෙ මනුස්සකම තවම ඉතිරි වෙලා තියෙනව,Neutral
තංගල්ලේ පැත්තේ මල ගෙදරකට ගිහින් එනකොට තමයි මේ අනතුර වෙලා තියෙන්නේ මැරුණ කාන්තාව නර්තන ගුරුවරියක්,Neutral
ඒ වගේම තමයි මට තේරුන හැටියට ඇම්බියුලන්ස් එකට කතා කරන්නෙ දෙමළ කෙනෙක් එතනදි කිසිම ජාතිවාදයක් නැහැ,Neutral
හැම තැනකම හොර කම මේ රට මඩ වගුරක් කරලා මී හරක් ටිකක් එකතු වෙලා,Neutral
මල්ලිලා ඔයාල සියලුදෙනාටම ස්තූතියි දෙවිපිහිටයි මේතමයි අපේකම,Neutral
උදවු කරන්න ආපු හැමොටම ගොඩක් පිං,Neutral
අන්තිමට දරු දුක දන්නෙඅම්මා කෙනෙක්ගේ වේදනාව දන්නෙ කවදාවත් ගැබ්බර වෙන්නෙත් නැතිකවදාවත් කිරි එරෙන්නෙත් නැති පිරිමියෙක්,Neutral
ඌ විතරයි එතන හිටපු එකම මනුස්ස අම්මෙක්ගෙ පුතා වුනේ නැතුව මේක වීඩියෝ කළ එකා නෙවෙයි,Neutral
ව්ඩියෝ නොකර අර යලුවට උදවු කරනම් ගෝඩක් වටිනව,Neutral
දැනට ලංකාවේ ජීවත් වෙන්නේ සතුන්,offensive
මගේ රටට ගිය කලක්,Neutral
කොහොම ආදර්ශයක් දුන්නත් වහල්ලු හොරා කන එකාට ආදරෙයි මුන් නිදහස් කරන්න කොහොමද,Neutral
ඕකුන් කවදාද හරි වැඩ කලේ බලු හැත්ත,Hate
පාලකයො වෙනස් වෙන්නෑ කවදාවත් රටේ මිනිස්සු මේ වගේ ගොබිලන්ට ජන්දෙ නොදී ඉන්නවනම් ඉවරනේ,offensive
ඒකට අපේ ඒම කියලා එවුන් වගයකට දීලා උන් ඊට හපන් නල්ල මලේ හොරු,Neutral
අවුරුදු ක් වුනත් ලංකාවේ ඔහොම වෙන්නෑ,Neutral
අපේ උං ගියානං බල්බ් එකේ ඉදන් ගලවං එන්නේ අන්න එහෙමයි ඉතිහාසෙ හිමි අපි,Neutral
ජපනා විතරක් නෙමේ ෆෙන්ස් අපේ අයත් යන්න කලින් සුද්ද කරලම තමා යන්නේ,Neutral
මේවා වෙනස් නොවෙන්න තවත් පාතාලයන් දේශපාලුවන් විසින් නිර්මාණය කරනවා ඇරෙන්න මේ රටේ සාධාරණ සමාජයක් බිහි කිරීමට උන්ට කිසිම උවමනාවක් නැති කාලකන්නි ජාතියක්,Neutral
ඇත්තටම මෙහෙමතමයි කරන්න ඕනි මේවගේ තමන්ගෙ ජීවිත අවධානම ගැනවත් නොහිතා වැඩ කරන මිනිස්සු අග තිරීම තුළින් අනිත් අයද එලෙස කටයුතු කරනු ඇති,Neutral
මේ අගයකිරීම ඇත්තටම වටිනවා මොකද සමහරක් පොලිස් මහත්තුරුන්ගේ වැඩ නිසායි මහජනයට පොලීසිය එපා වෙලා තියෙන්නෙ,Neutral
මෙවැනි ඇගයීම් දෙපැත්තටම වටිනවා පොලිසියේ මහත්තුරුන්ගේ සේවයත් අගේ කල යුතුයි,Neutral
මුන්ව පත් කරපු උන්ට තණකොල දෙන්න ඕන බන් මී හරක්,offensive
අම්මා තාත්තා දෙන්නම නැතිව පොඩිකාලේ ඉදන් තනිකමට හුරුවෙලා ජීවත්වෙන්න ඉගෙන ගත්ත එක වටිනවා කියලා හිතෙනවා,Neutral
හොද දෙයක් කලාමද කොහෙද පූජිත,Neutral
අවංකවම මනුස්ස කම මුලු හදපුරා තිබෙන මෙවන් අයට ඇත්තෙන්ම කිසි දිනක පුටු නොපාන්න මෙය තමයි අපි දකින මනුෂකම,Neutral
මේවා දකිද්දි දරාගැනීම් තමයි අපිට ශක්තිය තියෙනවා කියලා ඔප්පු කරන්න පුලුවන් එකම සාධකේ,Neutral
අවංකව මනුසත් කම හදපුරා අැති මෙවන් උත්තම මිනිසුන් අැගයීම කාලීනව කල යුත්තක් තෙරුවන් සරණයි හැමදෙනාටම,Neutral
වෙන්ඩ ඔනි දේවල් අගේකිරීම වැදගත් සර්,Neutral
එ උනාට පොලිසියට උදවු කලාට වැඩක් නැ,Neutral
නුඹලා අපේ රටටම අභිමානයක්,Neutral
හොද වැඩක් අගය කලයුතුයි,Neutral
මු නිකම් අයිසේජ් එකේ රූඩි වගේ මෝඩම හුකන්නෙක් බලු ජාන මුගෙ වැරැද්දක් නෑ අම්මගෙ වැරැද්ද,Hate
සෑහෙන වටිනා දෙයක් රෙස්පෙක්ට්,Neutral
අගය කිරිම හරිම වටිනවා,Neutral
හරි නම් කරන්න ඕනේ අර නිර්භීත තරුණයාව පොලියට බඳවාගැනීම,Neutral
ඒ සීන් එකනම් ඇත්ත අර වීඩියෝ එක දැක්කමත් පෙනුනා ලික්න් පොඩි කාලෙ හොරා පොලිස් සෙල්ලං කරනව වගේ,Neutral
අර පොලිස් නිලදාරිය දිවි පිදුව තමා නමුත් එතන ඊට වඩා දෙයක් වෙන්න තිබ්බ අපේ නිලදාරින්ගෙ පුහුනුව ටිකක් වැඩි උනානම්,Neutral
ලෝකෙ හොදම තුන්වෙනි පොලීසිය උනාට ඉතාලි පොලීසියෙ පස් දෙනෙක්ට එක බීමත් මිනිහෙක් පාලනය කර ගන්න බැරිඋන වීඩියෝ එකක් නම් මම දැක්කා අනික් ඒවත් එහෙමද මන්ද,Neutral
ඉස්සෙල්ලාම පොලිස් මහත්තුරුන්ගේ කායවර්ධන කරල මානසික වර්ධනකුත් කරන්න ඕනා,Neutral
ඉංදියාවෙ පොලිසිය නැද්ද බන් අර දිග පොලු අරන් එන හැටි මැවිල පේනව,Neutral
ලංකාව තමා හොදම පොලිසිය නිතිය හරියට කිුයාත්මක කලානමි,Neutral
මහජනතාවගේ ආරක්ෂාව වෙනුවෙන් හැමදාම ඇප කැප වී රාජකාරි කටයුතු කරන පොලිස් නිලධාරීන් ගැන මීට වඩා ටිකක් හිතුවොත් නරකද,Neutral
මාතර සිද්දිය පමණක් නොව මීට පෙර සිදුවීම් කිහිපයකදීම ජීවිත හානි සිදුවිය නමුත් සිදුවන හානිය අවම කිරීමටවත් ඉහල බලධාරීන් වගබලා ගත යුතුය,Neutral
පුලුවන් නම් එක දෙයක් කරන්න වෙඩි තියපු අයුද පෙන්නන්න එක්කන් යන්න,Neutral
පොලිසියේ අය හොරෙකුටවත් වෙඩි තියන්න බයයි අන්තිමට තමන්ටම මැරෙනකම් හිරේ ඉන්න වෙන නිසා පවුලත් අනාථ කරගෙන,Neutral
අර වාහනේ දොර ඇරල දෙන්න එකෙක් නෑ,Neutral
එකයි දැන් පොලිසියෙ තත්වෙ හොද අවි පුහුණුවක් ඇත්තෙම නැ තුවක්කුව තියාගෙන ඉන්න විදියෙන් ළගින් යන්නත් බයයි,Neutral
මෙතන පොලිස් නිලධාරීන් දෙන්නෙක් ඉන්නවා පලවෙනි කෙනා හැංගිලා බලන් ඉදල කොල්ලකාරයෝ දැක්ක ගමන් දුවනවා බයේ පැනල දුවද්දී උන් වෙඩි තියනවා වාහන අස්සේ ඇදගෙන වෙටෙන්නේ එයා,Neutral
ඒ තරමට පොලීසියේ උන් එපා වෙලා ඉන්නේ ඕකුන් කරන බලු වැඩ නිසා හැබැයි අහින්සක මනුස්සයෙක්ටනම් ඕන උදව්වක් කරනවා,Neutral
